,time,lat,lon,velocity,heading,baroaltitude,geoaltitude,onground,hour
3385,1641417936.0,32.42908025192002,-96.54140550263071,130.6849779561689,297.1702657743228,2857.5,2887.98,false,1641416400.0
3386,1641417937.0,32.42962646484375,-96.54263305664062,130.6849779561689,297.1702657743228,2842.26,2872.74,false,1641416400.0
3387,1641417938.0,32.42996474443856,-96.5434233996333,130.6849779561689,297.1702657743228,2842.26,2865.12,false,1641416400.0
3388,1641417939.0,32.43061647576801,-96.54488076969068,131.3777575048061,297.2674160919606,2834.64,2857.5,false,1641416400.0
3389,1641417940.0,32.43118286132812,-96.5461486816406,131.3777575048061,297.2674160919606,2827.02,2849.88,false,1641416400.0
3391,1641417942.0,32.43223571777344,-96.54862060546873,131.6142413830609,297.466483813939,2811.78,2849.88,false,1641416400.0
3392,1641417943.0,32.43280443094545,-96.54986945950253,131.8523083148105,297.6648350666497,2796.54,2819.4,false,1641416400.0
3393,1641417944.0,32.43338012695312,-96.55109252929685,131.8523083148105,297.6648350666497,2796.54,2811.78,false,1641416400.0
3394,1641417945.0,32.43379211425781,-96.55208129882811,132.0919497407292,297.8624689824762,2788.92,2811.78,false,1641416400.0
3395,1641417946.0,32.43434065479343,-96.553288673868,132.0919497407292,297.8624689824762,2781.3,2804.16,false,1641416400.0
3396,1641417947.0,32.4350389383607,-96.55480209661988,132.0919497407292,297.8624689824762,2773.68,2804.16,false,1641416400.0
3398,1641417949.0,32.43638895325741,-96.5577728894292,132.3331571070876,298.0593847683445,2750.82,2773.68,false,1641416400.0
3399,1641417950.0,32.43657516220868,-96.55827736367985,132.3331571070876,298.0593847683445,2750.82,2773.68,false,1641416400.0
3400,1641417951.0,32.43717956542969,-96.55955200195314,132.3331571070876,298.0593847683445,2743.2,2766.06,false,1641416400.0
3401,1641417952.0,32.43736267089844,-96.56004638671874,133.0292900269187,298.1506885881749,2735.58,2750.82,false,1641416400.0
3402,1641417953.0,32.43839069948358,-96.56225710499041,133.0292900269187,298.1506885881749,2720.34,2750.82,false,1641416400.0
3406,1641417957.0,32.44043899794756,-96.56674132055167,133.0292900269187,298.1506885881749,2689.86,2712.72,false,1641416400.0
3410,1641417961.0,32.44303894042969,-96.5725158691406,133.725757244891,298.2410415828191,2659.38,2674.62,false,1641416400.0
3411,1641417962.0,32.44365110235699,-96.57374790736606,133.725757244891,298.2410415828191,2651.76,2674.62,false,1641416400.0
3412,1641417963.0,32.44418334960938,-96.57498779296873,133.725757244891,298.2410415828191,2644.14,2659.38,false,1641416400.0
3415,1641417966.0,32.44578552246094,-96.57850341796876,133.725757244891,298.2410415828191,2628.9,2659.38,false,1641416400.0
3416,1641417967.0,32.44624328613281,-96.57954711914061,133.725757244891,298.2410415828191,2621.28,2636.52,false,1641416400.0
3417,1641417968.0,32.4468166545286,-96.580810546875,133.725757244891,298.2410415828191,2613.66,2628.9,false,1641416400.0
3419,1641417970.0,32.44798046047404,-96.58327686543367,133.725757244891,298.2410415828191,2606.04,2621.28,false,1641416400.0
3420,1641417971.0,32.44853210449219,-96.58454589843751,133.725757244891,298.2410415828191,2598.42,2613.66,false,1641416400.0
3421,1641417972.0,32.44944763183594,-96.58652343749998,133.725757244891,298.2410415828191,2590.8,2606.04,false,1641416400.0
3422,1641417973.0,32.44990539550781,-96.58756713867189,133.725757244891,298.2410415828191,2583.18,2606.04,false,1641416400.0
3423,1641417974.0,32.4504942813162,-96.58877002949617,133.725757244891,298.2410415828191,2583.18,2598.42,false,1641416400.0
3425,1641417976.0,32.4510498046875,-96.59003906250001,133.725757244891,298.2410415828191,2575.56,2598.42,false,1641416400.0
3428,1641417979.0,32.45300810215836,-96.59431924625318,133.725757244891,298.2410415828191,2560.32,2575.56,false,1641416400.0
3429,1641417980.0,32.45356750488281,-96.59553222656251,133.725757244891,298.2410415828191,2552.7,2567.94,false,1641416400.0
3430,1641417981.0,32.45448303222656,-96.59756469726562,133.725757244891,298.2410415828191,2545.08,2567.94,false,1641416400.0
3431,1641417982.0,32.4547119140625,-96.59805908203123,133.725757244891,298.2410415828191,2537.46,2545.08,false,1641416400.0
3432,1641417983.0,32.45539855957031,-96.59954223632809,133.9699494294005,298.4348678788463,2537.46,2545.08,false,1641416400.0
3434,1641417985.0,32.45654296875,-96.60206909179686,133.9699494294005,298.4348678788463,2522.22,2529.84,false,1641416400.0
3435,1641417986.0,32.45745849609375,-96.60404663085939,133.9699494294005,298.4348678788463,2514.6,2522.22,false,1641416400.0
3436,1641417987.0,32.45768737792969,-96.60459594726564,133.9699494294005,298.4348678788463,2514.6,2529.84,false,1641416400.0
3437,1641417988.0,32.45850126622086,-96.60631452287947,134.4225535648298,298.33045808554,2506.98,2514.6,false,1641416400.0
3438,1641417989.0,32.45906066894531,-96.60756225585936,134.4225535648298,298.33045808554,2499.36,2514.6,false,1641416400.0
3439,1641417990.0,32.45943231097722,-96.608332419882,134.4225535648298,298.33045808554,2499.36,2514.6,false,1641416400.0
3440,1641417991.0,32.46002197265625,-96.60959472656248,134.4225535648298,298.33045808554,2491.74,2499.36,false,1641416400.0
3441,1641417992.0,32.46059611692267,-96.61085479113518,134.8756010882666,298.2267493753457,2484.12,2491.74,false,1641416400.0
3442,1641417993.0,32.46139526367188,-96.61261596679685,134.8756010882666,298.2267493753457,2476.5,2491.74,false,1641416400.0
3443,1641417994.0,32.46171337063029,-96.61337716238836,134.8756010882666,298.2267493753457,2476.5,2484.12,false,1641416400.0
3444,1641417995.0,32.46253967285156,-96.61514282226562,134.8756010882666,298.2267493753457,2468.88,2476.5,false,1641416400.0
3445,1641417996.0,32.4627685546875,-96.61563720703123,134.4225535648298,298.33045808554,2468.88,2484.12,false,1641416400.0
3447,1641417998.0,32.46404098252118,-96.61842190489477,133.725757244891,298.2410415828191,2453.64,2461.26,false,1641416400.0
3449,1641418000.0,32.46515823622881,-96.62094427614795,133.0292900269187,298.1506885881749,2446.02,2453.64,false,1641416400.0
3450,1641418001.0,32.46597290039062,-96.62266845703124,133.0292900269187,298.1506885881749,2438.4,2453.64,false,1641416400.0
3451,1641418002.0,32.46627548993644,-96.62341059470663,132.5759218667144,298.2555817047916,2438.4,2446.02,false,1641416400.0
3452,1641418003.0,32.4669737735037,-96.62492401745857,132.5759218667144,298.2555817047916,2430.78,2446.02,false,1641416400.0
3453,1641418004.0,32.46775817871094,-96.62662353515623,131.8794025954414,298.1645177095266,2423.16,2438.4,false,1641416400.0
3454,1641418005.0,32.46798706054688,-96.62711791992189,131.8794025954414,298.1645177095266,2423.16,2430.78,false,1641416400.0
3455,1641418006.0,32.4687893107786,-96.62884770607462,131.8794025954414,298.1645177095266,2415.54,2423.16,false,1641416400.0
3456,1641418007.0,32.46931457519531,-96.63008422851561,131.8794025954414,298.1645177095266,2407.92,2423.16,false,1641416400.0
3457,1641418008.0,32.46967380329714,-96.63080955038265,131.8794025954414,298.1645177095266,2407.92,2415.54,false,1641416400.0
3458,1641418009.0,32.47023010253906,-96.63206176757814,131.8794025954414,298.1645177095266,2400.3,2407.92,false,1641416400.0
3459,1641418010.0,32.47079105700477,-96.63327586894133,131.4260951759207,298.2703762463119,2400.3,2407.92,false,1641416400.0
3460,1641418011.0,32.47137451171875,-96.63453369140626,131.4260951759207,298.2703762463119,2392.68,2400.3,false,1641416400.0
3461,1641418012.0,32.4716755495233,-96.63529376594386,131.4260951759207,298.2703762463119,2385.06,2392.68,false,1641416400.0
3462,1641418013.0,32.47279280323093,-96.63770403180803,131.4260951759207,298.2703762463119,2377.44,2392.68,false,1641416400.0
3463,1641418014.0,32.473388671875,-96.63898315429685,131.4260951759207,298.2703762463119,2369.82,2385.06,false,1641416400.0
3464,1641418015.0,32.47361755371094,-96.63942260742186,130.9732394907758,298.3769671862278,2369.82,2377.44,false,1641416400.0
3466,1641418017.0,32.47494506835938,-96.64238891601559,130.9732394907758,298.3769671862278,2362.2,2369.82,false,1641416400.0
3467,1641418018.0,32.47526007183527,-96.64314114317602,130.9732394907758,298.3769671862278,2354.58,2362.2,false,1641416400.0
3468,1641418019.0,32.47586059570312,-96.64436645507811,130.9732394907758,298.3769671862278,2346.96,2354.58,false,1641416400.0
3469,1641418020.0,32.47650146484375,-96.64579467773439,130.9732394907758,298.3769671862278,2346.96,2354.58,false,1641416400.0
3470,1641418021.0,32.47707560911017,-96.64706483179208,130.9732394907758,298.3769671862278,2339.34,2354.58,false,1641416400.0
3471,1641418022.0,32.47764587402344,-96.64826660156251,130.5208402420254,298.4842974110469,2331.72,2339.34,false,1641416400.0
3472,1641418023.0,32.47819286281779,-96.64947509765625,130.2762774025361,298.28543194195,2331.72,2339.34,false,1641416400.0
3473,1641418024.0,32.47874450683594,-96.65068359374999,130.2762774025361,298.28543194195,2324.1,2331.72,false,1641416400.0
3474,1641418025.0,32.47931011652543,-96.65194141621492,129.8234879900283,298.393019421383,2316.48,2324.1,false,1641416400.0
3476,1641418027.0,32.48030090332031,-96.65408935546873,129.8234879900283,298.393019421383,2308.86,2316.48,false,1641416400.0
3478,1641418029.0,32.48162841796875,-96.65700073242186,129.8234879900283,298.393019421383,2301.24,2308.86,false,1641416400.0
3481,1641418032.0,32.48308084778866,-96.66018116230867,129.37115953407,298.5013596146826,2286.0,2286.0,false,1641416400.0
3482,1641418033.0,32.4839653403072,-96.6620869539222,129.37115953407,298.5013596146826,2278.38,2293.62,false,1641416400.0
3485,1641418036.0,32.48565673828125,-96.66573486328122,129.37115953407,298.5013596146826,2270.76,2270.76,false,1641416400.0
3486,1641418037.0,32.48606872558594,-96.66666870117189,129.37115953407,298.5013596146826,2263.14,2270.76,false,1641416400.0
3487,1641418038.0,32.48666537010063,-96.66791643415178,128.9192968866213,298.6104596659652,2255.52,2263.14,false,1641416400.0
3488,1641418039.0,32.48721313476562,-96.66908569335936,128.6737468614997,298.4093585215617,2255.52,2255.52,false,1641416400.0
3489,1641418040.0,32.48773607157045,-96.67032670001595,128.6737468614997,298.4093585215617,2247.9,2263.14,false,1641416400.0
3490,1641418041.0,32.48831176757812,-96.67150268554684,128.6737468614997,298.4093585215617,2247.9,2247.9,false,1641416400.0
3491,1641418042.0,32.48885332527807,-96.67268091318556,128.6737468614997,298.4093585215617,2240.28,2240.28,false,1641416400.0
3492,1641418043.0,32.48941040039062,-96.67391967773438,128.6737468614997,298.4093585215617,2232.66,2240.28,false,1641416400.0
3493,1641418044.0,32.4899705789857,-96.67509117904973,128.6737468614997,298.4093585215617,2232.66,2232.66,false,1641416400.0
3494,1641418045.0,32.49028015136719,-96.67584228515625,128.6737468614997,298.4093585215617,2232.66,2232.66,false,1641416400.0
3496,1641418047.0,32.49150680283368,-96.6785103934152,129.1264687847781,298.3007557660064,2217.42,2217.42,false,1641416400.0
3498,1641418049.0,32.49252319335938,-96.68067626953126,129.37115953407,298.5013596146826,2209.8,2209.8,false,1641416400.0
3499,1641418050.0,32.49308957891949,-96.6818735550861,129.8234879900283,298.393019421383,2202.18,2202.18,false,1641416400.0
3501,1641418052.0,32.4941602803893,-96.68433987364477,129.8234879900283,298.393019421383,2194.56,2194.56,false,1641416400.0
3502,1641418053.0,32.49509132514566,-96.6862456652583,130.2762774025361,298.28543194195,2186.94,2194.56,false,1641416400.0
3503,1641418054.0,32.49527753409693,-96.68675013950894,130.2762774025361,298.28543194195,2186.94,2186.94,false,1641416400.0
3505,1641418056.0,32.49662754899364,-96.6896648796237,130.5208402420254,298.4842974110469,2179.32,2186.94,false,1641416400.0
